m1,m2,m3,m4,m5,m6,m7,value
Daman-Bhimpore,Senior Officer,Manufacturing,19-08-14,3-5 Years,Global Mfg,300,1
Daman-Kadaiya,Assistant Manager,Manufacturing,06-05-14,3-5 Years,Quality,300,1
Shendra-SEZ,Senior Manager,Manufacturing,07-08-13,2-3 Years,Quality,300,1
Daman-Kadaiya,Junior Executive,Manufacturing,29-09-13,2-3 Years,Quality,300,1
Daman-Kadaiya,Asst. General Manager,Manufacturing,03-08-15,3-5 Years,Global Mfg,300,1
Daman-Kadaiya,Junior Executive,Manufacturing,31-07-14,3-5 Years,Quality,300,1
Daman-Bhimpore,Senior Executive - Production,Manufacturing,19-04-16,5 & Above,Global Mfg,300,1
Shendra-SEZ,Senior Officer,Manufacturing,28-08-14,3-5 Years,Quality,300,1
Daman-Bhimpore,Staff,Manufacturing,07-10-15,3-5 Years,Global Mfg,300,1
Daman-Kadaiya,Senior Officer,Manufacturing,13-10-14,3-5 Years,Global Mfg,300,1
Shendra-SEZ,Staff Trainee,Manufacturing,25-03-14,2-3 Years,Global Mfg,300,1
Shendra-SEZ,Junior Executive,Manufacturing,20-12-13,2-3 Years,Quality,300,1
Shendra-SEZ,Staff Trainee,Manufacturing,10-08-13,2-3 Years,Global Mfg,300,1
Daman-Kadaiya,Staff,Manufacturing,11-04-15,3-5 Years,Global Mfg,300,1
Daman-Bhimpore,Staff,Manufacturing,27-07-14,3-5 Years,Global Mfg,300,1
Daman-Bhimpore,Staff,Manufacturing,09-03-14,2-3 Years,Global Mfg,300,1
Daman-Bhimpore,Staff,Manufacturing,26-06-15,3-5 Years,Global Mfg,300,1
Daman-Kadaiya,Junior Executive,Manufacturing,27-02-14,2-3 Years,Quality,400,1
Daman-Bhimpore,Staff,Manufacturing,10-03-15,3-5 Years,Global Mfg,400,1
Daman-Bhimpore,Junior Executive,Manufacturing,30-11-15,3-5 Years,Location HR,400,1
Daman-Bhimpore,Executive,Manufacturing,25-03-14,2-3 Years,Global Mfg,400,1
Shendra-SEZ,Junior Executive,Manufacturing,06-08-15,3-5 Years,Quality,400,1
Shendra-SEZ,Senior Officer,Manufacturing,08-10-13,2-3 Years,Quality,400,1
Shendra-SEZ,Junior Executive,Manufacturing,22-10-14,3-5 Years,Global Mfg,400,1
Daman-Bhimpore,Staff,Manufacturing,31-07-14,2-3 Years,Global Mfg,400,1
Daman-Bhimpore,Staff,Manufacturing,31-07-14,2-3 Years,Global Mfg,400,1
Daman-Bhimpore,Staff,Manufacturing,07-11-14,3-5 Years,Global Mfg,400,1
Daman-Kadaiya,Staff,Manufacturing,18-08-13,1-2 Years,Global Mfg,400,1
Daman-Kadaiya,Staff,Manufacturing,16-10-14,3-5 Years,Global Mfg,400,1
Daman-Kadaiya,Staff,Manufacturing,01-02-15,3-5 Years,Global Mfg,400,1
Daman-Bhimpore,Staff,Manufacturing,31-07-14,2-3 Years,Global Mfg,400,1
Daman-Bhimpore,Executive,Manufacturing,16-09-14,3-5 Years,Quality,400,1
Daman-Bhimpore,Executive - QA,Manufacturing,26-05-14,2-3 Years,Quality,500,1
Daman-Kadaiya,Junior Executive,Manufacturing,10-10-13,2-3 Years,Quality,500,1
Shendra-SEZ,Senior Officer,Manufacturing,16-11-13,2-3 Years,Quality,500,1
Daman-Bhimpore,Senior Officer,Manufacturing,29-10-13,1-2 Years,Global Mfg,500,1
Shendra-SEZ,Senior Executive,Manufacturing,16-11-13,1-2 Years,Quality,500,1
Daman-Bhimpore,Senior Officer,Manufacturing,30-12-13,2-3 Years,Global Mfg,500,1
Daman-Bhimpore,Executive,Manufacturing,18-03-14,2-3 Years,Global Mfg,500,1
Shendra-SEZ,Assistant Manager,Manufacturing,23-08-14,2-3 Years,Quality,500,1
Daman-Kadaiya,Supervisor,Manufacturing,29-10-13,1-2 Years,Global Mfg,500,1
Shendra-SEZ,Staff Trainee,Manufacturing,03-08-15,3-5 Years,Global Mfg,500,1
Shendra-SEZ,Assistant,Manufacturing,25-09-15,3-5 Years,Global Mfg,500,1
Shendra-SEZ,Senior Officer,Manufacturing,26-09-13,1-2 Years,Global Mfg,500,1
Shendra-SEZ,Executive,Manufacturing,21-02-15,2-3 Years,Global Mfg,500,1
Daman-Kadaiya,Junior Executive,Manufacturing,18-03-14,1-2 Years,Quality,500,1
Shendra-SEZ,Junior Executive,Manufacturing,19-09-13,1-2 Years,Global Mfg,500,1
Daman-Bhimpore,Deputy General Manager,Manufacturing,02-11-14,2-3 Years,Global Mfg,500,1
Daman-Kadaiya,Executive,Manufacturing,23-08-15,3-5 Years,Quality,100,1
Shendra-SEZ,Staff Trainee - Production,Manufacturing,06-12-13,1-2 Years,Global Mfg,100,1
Shendra-SEZ,Junior Executive,Manufacturing,20-07-15,3-5 Years,Global Mfg,100,1
Shendra-SEZ,Junior Executive,Manufacturing,20-05-15,2-3 Years,Global Mfg,100,1
Shendra-SEZ,Technician – Production,Manufacturing,15-11-14,2-3 Years,Global Mfg,100,1
Shendra-SEZ,Senior Officer,Manufacturing,31-12-13,1-2 Years,Global Mfg,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,02-03-15,2-3 Years,Global Mfg,100,1
Shendra-SEZ,Associate Vice President,Manufacturing,06-02-15,2-3 Years,Quality,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,21-09-15,3-5 Years,Global Mfg,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,30-09-13,1-2 Years,Global Mfg,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,30-11-15,3-5 Years,Global Mfg,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,01-08-13,1-2 Years,Global Mfg,100,1
Shendra-SEZ,Senior Assistant,Manufacturing,05-03-15,2-3 Years,Global Mfg,100,1
Daman-Bhimpore,Trainee Technician,Manufacturing,21-08-15,3-5 Years,Global Mfg,100,1
Daman-Bhimpore,Trainee Technician,Manufacturing,28-06-15,3-5 Years,Global Mfg,100,1
Daman-Bhimpore,Trainee Technician,Manufacturing,20-02-14,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Trainee Technician,Manufacturing,20-02-14,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Trainee Technician,Manufacturing,28-04-14,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Trainee Technician,Manufacturing,20-02-14,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Trainee Technician,Manufacturing,27-04-15,2-3 Years,Global Mfg,100,1
Daman-Bhimpore,Trainee Technician,Manufacturing,07-10-15,3-5 Years,Global Mfg,100,1
Daman-Kadaiya,STAFF,Manufacturing,31-01-14,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Supervisor,Manufacturing,11-12-14,2-3 Years,Global Mfg,100,1
Daman-Bhimpore,Junior Executive,Manufacturing,21-02-16,3-5 Years,Quality,100,1
Daman-Bhimpore,Executive,Manufacturing,02-01-14,1-2 Years,Quality,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,29-05-15,2-3 Years,Global Mfg,200,1
Shendra-SEZ,Executive,Manufacturing,13-01-16,3-5 Years,Global Mfg,200,1
Shendra-SEZ,Assistant Manager,Manufacturing,30-11-13,1-2 Years,Quality,200,1
Shendra-SEZ,Junior Assistant,Manufacturing,30-01-16,3-5 Years,Global Mfg,200,1
Shendra-SEZ,Supervisor,Manufacturing,29-08-14,2-3 Years,Global Mfg,200,1
Shendra-SEZ,Staff Trainee,Manufacturing,21-01-15,2-3 Years,Global Mfg,200,1
Shendra-SEZ,Assistant Manager,Manufacturing,19-12-15,3-5 Years,Global Mfg,200,1
Daman-Bhimpore,Supervisor,Manufacturing,02-11-14,2-3 Years,Global Mfg,200,1
Daman-Bhimpore,Executive,Manufacturing,05-03-15,2-3 Years,Quality,200,1
Shendra-SEZ,Supervisor,Manufacturing,09-10-13,1-2 Years,Global Mfg,200,1
Shendra-SEZ,Senior Officer,Manufacturing,26-12-13,1-2 Years,Quality,200,1
Shendra-SEZ,Senior Officer,Manufacturing,02-01-14,1-2 Years,Quality,200,1
Shendra-SEZ,Assistant,Manufacturing,22-11-14,2-3 Years,Global Mfg,200,1
Shendra-SEZ,Assistant Manager,Manufacturing,01-03-15,2-3 Years,Global Mfg,200,1
Shendra-SEZ,Junior Executive,Manufacturing,26-11-14,2-3 Years,Quality,200,1
Shendra-SEZ,Senior Officer,Manufacturing,10-01-15,2-3 Years,Global Mfg,300,1
Shendra-SEZ,Senior Officer,Manufacturing,16-11-13,1-2 Years,Quality,300,1
Shendra-SEZ,Executive,Manufacturing,08-10-14,2-3 Years,Global Mfg,300,1
Shendra-SEZ,Junior Assistant,Manufacturing,18-12-15,3-5 Years,Global Mfg,300,1
Shendra-SEZ,Staff Trainee,Manufacturing,06-05-16,3-5 Years,Global Mfg,300,1
Daman-Bhimpore,Senior Officer,Manufacturing,26-03-15,2-3 Years,Global Mfg,300,1
Daman-Bhimpore,Junior Executive,Manufacturing,27-04-14,1-2 Years,Quality,300,1
Shendra-SEZ,Staff Trainee,Manufacturing,01-08-13,6 Months to 1 Year,Global Mfg,300,1
Shendra-SEZ,Sr. Officer,Manufacturing,14-11-14,2-3 Years,Quality,300,1
Daman-Bhimpore,Junior Executive,Manufacturing,14-06-15,2-3 Years,Global Mfg,300,1
Shendra-SEZ,Assistant,Manufacturing,03-06-14,1-2 Years,Global Mfg,300,1
Daman-Kadaiya,Senior Officer,Manufacturing,03-03-14,1-2 Years,Quality,300,1
Shendra-SEZ,Supervisor,Manufacturing,30-06-16,3-5 Years,Global Mfg,300,1
Shendra-SEZ,Staff Trainee,Manufacturing,29-09-15,2-3 Years,Global Mfg,300,1
Daman-Bhimpore,Trainee Technician,Manufacturing,14-11-14,2-3 Years,Global Mfg,300,1
Shendra-SEZ,Technician,Manufacturing,04-04-16,3-5 Years,Global Mfg,300,1
Daman-Bhimpore,Trainee Technician,Manufacturing,07-07-15,2-3 Years,Global Mfg,300,1
Daman-Bhimpore,Trainee Technician,Manufacturing,25-12-14,2-3 Years,Global Mfg,300,1
Daman-Kadaiya,Trainee Technician,Manufacturing,18-08-13,6 Months to 1 Year,Global Mfg,300,1
Daman-Kadaiya,Trainee Technician,Manufacturing,21-02-14,1-2 Years,Global Mfg,300,1
Daman-Kadaiya,Trainee Technician,Manufacturing,01-02-15,2-3 Years,Global Mfg,300,1
Daman-Kadaiya,Trainee Technician,Manufacturing,03-03-14,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Staff Trainee,Manufacturing,01-07-15,2-3 Years,Global Mfg,300,1
Shendra-SEZ,Staff Trainee,Manufacturing,31-07-15,2-3 Years,Global Mfg,300,1
Shendra-SEZ,Staff Trainee,Manufacturing,15-07-13,6 Months to 1 Year,Global Mfg,300,1
Shendra-SEZ,Senior Officer,Manufacturing,16-11-13,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Junior Executive,Manufacturing,06-10-14,1-2 Years,Quality,300,1
Shendra-SEZ,Technician,Manufacturing,24-03-16,3-5 Years,Global Mfg,400,1
Shendra-SEZ,Junior Assistant,Manufacturing,15-11-14,1-2 Years,Global Mfg,400,1
Shendra-SEZ,Officer,Manufacturing,30-06-13,6 Months to 1 Year,Quality,400,1
Shendra-SEZ,Junior Executive,Manufacturing,18-09-13,6 Months to 1 Year,Quality,400,1
Daman-Bhimpore,Trainee Workman,Manufacturing,01-07-13,6 Months to 1 Year,Global Mfg,400,1
Shendra-SEZ,Assistant Manager,Manufacturing,26-10-13,6 Months to 1 Year,Global Mfg,400,1
Daman-Bhimpore,Junior Executive,Manufacturing,26-07-14,1-2 Years,Quality,400,1
Daman-Bhimpore,Senior Officer,Manufacturing,08-04-14,1-2 Years,Global Mfg,400,1
Shendra-SEZ,,Manufacturing,28-12-15,2-3 Years,Quality,400,1
Shendra-SEZ,Junior Executive,Manufacturing,28-08-14,1-2 Years,Quality,400,1
Shendra-SEZ,Senior Officer,Manufacturing,17-05-14,1-2 Years,Global Mfg,400,1
Shendra-SEZ,Assistant Manager,Manufacturing,15-04-16,3-5 Years,Projects,400,1
Shendra-SEZ,Staff Trainee,Manufacturing,06-06-14,1-2 Years,Global Mfg,400,1
Shendra-SEZ,Assistant,Manufacturing,21-03-14,1-2 Years,Global Mfg,400,1
Shendra-SEZ,Staff Trainee,Manufacturing,31-08-13,6 Months to 1 Year,Global Mfg,400,1
Daman-Bhimpore,Senior Officer,Manufacturing,04-06-14,1-2 Years,Quality,500,1
Daman-Kadaiya,Junior Executive,Manufacturing,14-10-14,1-2 Years,Quality,500,1
Shendra-SEZ,Technician,Manufacturing,30-06-13,3-6 Months,Global Mfg,500,1
Shendra-SEZ,Junior Executive,Manufacturing,17-07-15,2-3 Years,Quality,500,1
Shendra-SEZ,Junior Executive,Manufacturing,09-05-15,2-3 Years,Quality,500,1
Shendra-SEZ,Staff Trainee,Manufacturing,30-06-13,3-6 Months,Global Mfg,500,1
Shendra-SEZ,Junior Executive,Manufacturing,09-05-15,2-3 Years,Quality,500,1
Daman-Kadaiya,Senior Manager,Manufacturing,28-03-14,1-2 Years,Global Mfg,500,1
Shendra-SEZ,Sr. Officer,Manufacturing,28-01-16,2-3 Years,Global Mfg,500,1
Shendra-SEZ,Senior Assistant,Manufacturing,31-08-13,3-6 Months,Global Mfg,500,1
Daman-Bhimpore,Senior Officer,Manufacturing,19-11-14,1-2 Years,Quality,500,1
Daman-Kadaiya,Senior Officer,Manufacturing,12-01-14,6 Months to 1 Year,Global Mfg,500,1
Daman-Kadaiya,Trainee Workman,Manufacturing,30-11-14,1-2 Years,Global Mfg,500,1
Daman-Kadaiya,Trainee Workman,Manufacturing,31-07-14,1-2 Years,Global Mfg,500,1
Daman-Kadaiya,Trainee Workman,Manufacturing,08-08-15,2-3 Years,Global Mfg,500,1
Daman-Bhimpore,Trainee Workman,Manufacturing,01-08-13,3-6 Months,Global Mfg,500,1
Daman-Bhimpore,Trainee Workman,Manufacturing,31-07-14,1-2 Years,Global Mfg,100,1
Daman-Kadaiya,Senior Officer,Manufacturing,18-08-14,1-2 Years,Quality,100,1
Shendra-SEZ,Manager,Manufacturing,16-05-15,2-3 Years,Global Mfg,100,1
Shendra-SEZ,Executive,Manufacturing,25-02-15,1-2 Years,Quality,100,1
Shendra-SEZ,Executive,Manufacturing,06-05-16,3-5 Years,Global Mfg,100,1
Daman-Kadaiya,Trainee Workman,Manufacturing,31-03-15,1-2 Years,Global Mfg,100,1
Daman-Kadaiya,Assistant Manager,Manufacturing,01-04-14,6 Months to 1 Year,Quality,100,1
Shendra-SEZ,SENIOR ASSISTANT,Manufacturing,30-06-13,0-3 Months,Global Mfg,100,1
Shendra-SEZ,Executive,Manufacturing,10-12-15,2-3 Years,Global Mfg,100,1
Shendra-SEZ,ASSISTANT,Manufacturing,16-07-13,0-3 Months,Global Mfg,100,1
Shendra-SEZ,Junior Executive,Manufacturing,30-10-13,6 Months to 1 Year,Quality,100,1
Shendra-SEZ,Assistant,Manufacturing,24-04-15,2-3 Years,Global Mfg,100,1
Shendra-SEZ,Junior Assistant,Manufacturing,04-02-15,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Trainee Workman,Manufacturing,13-07-14,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Trainee Workman,Manufacturing,17-06-16,3-5 Years,Global Mfg,100,1
Daman-Kadaiya,Supervisor,Manufacturing,11-04-15,1-2 Years,Global Mfg,100,1
Daman-Bhimpore,Trainee Technician,Manufacturing,07-07-15,2-3 Years,Global Mfg,100,1
Daman-Bhimpore,Senior Officer,Manufacturing,31-10-15,2-3 Years,Quality,100,1
Shendra-SEZ,Senior Officer,Manufacturing,17-05-14,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Officer,Manufacturing,02-04-14,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Senior Officer,Manufacturing,24-12-13,6 Months to 1 Year,Quality,100,1
Daman-Bhimpore,Supervisor,Manufacturing,04-01-14,6 Months to 1 Year,Global Mfg,100,1
Shendra-SEZ,Assistant,Manufacturing,30-11-13,3-6 Months,Quality,100,1
Daman-Kadaiya,Senior Officer,Manufacturing,20-11-13,3-6 Months,Global Mfg,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,28-01-16,2-3 Years,Global Mfg,100,1
Shendra-SEZ,Staff Trainee,Manufacturing,08-12-14,1-2 Years,Global Mfg,200,1
Shendra-SEZ,Staff Trainee,Manufacturing,13-01-14,6 Months to 1 Year,Global Mfg,200,1
Daman-Bhimpore,Trainee Workman,Manufacturing,31-07-15,2-3 Years,Global Mfg,200,1
Daman-Bhimpore,Trainee Workman,Manufacturing,16-04-15,1-2 Years,Global Mfg,200,1
Daman-Kadaiya,Trainee Workman,Manufacturing,31-03-15,1-2 Years,Global Mfg,200,1
Daman-Kadaiya,Trainee Workman,Manufacturing,31-08-15,2-3 Years,Global Mfg,200,1
Daman-Kadaiya,Trainee Workman,Manufacturing,21-03-15,1-2 Years,Global Mfg,200,1
Daman-Kadaiya,Trainee Workman,Manufacturing,08-08-15,2-3 Years,Global Mfg,200,1
Daman-Bhimpore,Trainee Workman,Manufacturing,01-07-13,0-3 Months,Global Mfg,200,1
Daman-Bhimpore,Trainee Workman,Manufacturing,31-08-15,2-3 Years,Global Mfg,200,1
Daman-Kadaiya,Trainee Workman,Manufacturing,31-07-14,1-2 Years,Global Mfg,200,1
Shendra-SEZ,Junior Assistant,Manufacturing,12-03-15,1-2 Years,Global Mfg,200,1
Shendra-SEZ,Senior Officer,Manufacturing,30-06-13,0-3 Months,Quality,200,1
Daman-Bhimpore,Trainee Workman,Manufacturing,11-03-15,1-2 Years,Global Mfg,200,1
Shendra-SEZ,Staff Trainee,Manufacturing,31-12-13,6 Months to 1 Year,Global Mfg,200,1
Shendra,Senior Research Associate,Research & Development,04-04-16,2-3 Years,Pharma Research,300,1
Shendra-SEZ,Junior Assistant,Manufacturing,21-08-13,0-3 Months,Global Mfg,300,1
Shendra-SEZ,Senior Officer,Manufacturing,19-05-14,6 Months to 1 Year,Quality,300,1
Shendra-SEZ,Assistant,Manufacturing,27-06-15,2-3 Years,Global Mfg,300,1
Shendra-SEZ,Assistant,Manufacturing,14-08-14,1-2 Years,Global Mfg,300,1
Shendra-SEZ,Executive,Manufacturing,18-11-15,2-3 Years,Quality,300,1
Shendra-SEZ,Assistant,Manufacturing,13-05-16,2-3 Years,Global Mfg,300,1
Daman-Bhimpore,Executive,Manufacturing,20-10-14,1-2 Years,Quality,300,1
Daman-Bhimpore,Supervisor,Manufacturing,17-12-13,3-6 Months,Global Mfg,300,1
Daman-Bhimpore,Senior Officer,Manufacturing,01-01-14,3-6 Months,Global Mfg,300,1
Daman-Bhimpore,Executive,Manufacturing,09-07-14,1-2 Years,Quality,300,1
Daman-Bhimpore,Technician,Manufacturing,30-07-13,0-3 Months,Global Mfg,300,1
Shendra-SEZ,Senior Manager,Manufacturing,18-06-16,2-3 Years,Quality,300,1
Shendra-SEZ,Junior Executive,Manufacturing,27-01-15,1-2 Years,Quality,300,1
Shendra-SEZ,Senior Officer,Manufacturing,17-05-14,6 Months to 1 Year,Quality,300,1
Shendra-SEZ,Staff Trainee,Manufacturing,31-08-13,0-3 Months,Global Mfg,300,1
Shendra-SEZ,Staff Trainee,Manufacturing,07-04-16,2-3 Years,Global Mfg,300,1
Daman-Bhimpore,Executive,Manufacturing,28-02-14,6 Months to 1 Year,Global Mfg,300,1
Daman-Bhimpore,Executive,Manufacturing,10-04-14,6 Months to 1 Year,Quality,300,1
Daman-Kadaiya,Senior Officer,Manufacturing,24-04-14,6 Months to 1 Year,Quality,300,1
Shendra-SEZ,Officer,Manufacturing,25-03-14,6 Months to 1 Year,Quality,300,1
Shendra-SEZ,Assistant Manager,Manufacturing,07-04-16,2-3 Years,Quality,300,1
Shendra-SEZ,Officer,Manufacturing,28-12-13,3-6 Months,Quality,300,1
Shendra-SEZ,,Manufacturing,09-04-14,6 Months to 1 Year,Global Mfg,300,1
Shendra-SEZ,Executive,Manufacturing,23-02-15,1-2 Years,Quality,300,1
Shendra-SEZ,Senior Executive,Manufacturing,23-07-15,1-2 Years,Global Mfg,300,1
Daman-Bhimpore,Senior Officer,Manufacturing,12-05-15,1-2 Years,Global Mfg,300,1
Daman-Bhimpore,Deputy General Manager,Manufacturing,08-12-14,1-2 Years,Quality,400,1
Shendra-SEZ,Staff Trainee,Manufacturing,07-05-16,2-3 Years,Global Mfg,400,1
Daman-Bhimpore,Supervisor,Manufacturing,12-05-15,1-2 Years,Global Mfg,400,1
Shendra-SEZ,Senior Officer,Manufacturing,02-10-15,2-3 Years,Quality,400,1
Daman-Kadaiya,Jr. Executive,Manufacturing,11-05-15,1-2 Years,Quality,400,1
Shendra-SEZ,Assistant General Manager,Manufacturing,12-04-16,2-3 Years,Global Mfg,400,1
Shendra-SEZ,Executive,Manufacturing,29-01-15,1-2 Years,Quality,400,1
Shendra-SEZ,Senior Officer,Manufacturing,02-06-14,6 Months to 1 Year,Global Mfg,400,1
Shendra-SEZ,Executive,Manufacturing,23-08-14,6 Months to 1 Year,Global Mfg,400,1
Daman-Kadaiya,Junior Executive,Manufacturing,20-02-14,3-6 Months,Quality,400,1
Shendra-SEZ,Senior Executive,Manufacturing,29-05-15,1-2 Years,Quality,400,1
Shendra-SEZ,Jr. Executive,Manufacturing,13-01-15,1-2 Years,Global Mfg,400,1
Shendra-SEZ,Senior Officer,Manufacturing,29-08-14,6 Months to 1 Year,Global Mfg,400,1
Shendra-SEZ,Senior Assistant,Manufacturing,06-05-14,6 Months to 1 Year,Global Mfg,400,1
Daman-Kadaiya,Officer,Manufacturing,01-12-13,0-3 Months,Quality,400,1
Daman-Bhimpore,Senior Officer,Manufacturing,30-12-13,3-6 Months,Quality,500,1
Daman-Kadaiya,Senior Officer,Manufacturing,29-10-13,0-3 Months,Quality,500,1
Daman-Bhimpore,Senior Officer,Manufacturing,12-01-14,3-6 Months,Quality,500,1
Daman-Kadaiya,Senior Officer,Manufacturing,10-11-13,0-3 Months,Global Mfg,500,1
Daman-Bhimpore,Junior Executive,Manufacturing,10-12-13,0-3 Months,Global Mfg,500,1
Shendra-SEZ,Senior Manager,Manufacturing,02-04-16,2-3 Years,Quality,500,1
Shendra-SEZ,Senior Officer,Manufacturing,14-07-15,1-2 Years,Quality,500,1
Shendra-SEZ,Senior Executive,Manufacturing,28-10-15,2-3 Years,Quality,500,1
Daman-Bhimpore,Officer,Manufacturing,06-03-14,3-6 Months,Quality,500,1
Shendra-SEZ,Junior Executive,Manufacturing,26-11-14,1-2 Years,Quality,500,1
Shendra-SEZ,Assistant,Manufacturing,30-07-15,1-2 Years,Global Mfg,500,1
Shendra-SEZ,Junior Executive,Manufacturing,20-12-14,1-2 Years,Quality,500,1
Shendra-SEZ,Supervisor,Manufacturing,21-09-15,1-2 Years,Global Mfg,500,1
Shendra-SEZ,Senior Assistant,Manufacturing,30-11-13,0-3 Months,Global Mfg,500,1
Shendra-SEZ,Executive,Manufacturing,11-05-15,1-2 Years,Quality,500,1
Shendra-SEZ,Senior Executive,Manufacturing,27-10-15,2-3 Years,Global Mfg,500,1
