m1,m2,m3,m4,m5,m6,type,value
Andhra Pradesh,Operations,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,Administration,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Andhra Pradesh,Administration,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,8
Andhra Pradesh,Administration,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,72
Andhra Pradesh,Administration,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,40
Andhra Pradesh,Administration,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,12
Andhra Pradesh,Administration,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Andhra Pradesh,Administration,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,Finance,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Andhra Pradesh,Finance,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,Support,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,Support,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Andhra Pradesh,Support,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Andhra Pradesh,Support,Referral,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Andhra Pradesh,Credit,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Andhra Pradesh,Credit,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,10
Andhra Pradesh,Credit,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Andhra Pradesh,Credit,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,Credit,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Andhra Pradesh,Others,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,Others,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,Others,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Andhra Pradesh,Others,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,Others,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Andhra Pradesh,Others,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Arunachal Pradesh,CSO,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Arunachal Pradesh,CSO,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Arunachal Pradesh,BD,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Arunachal Pradesh,BD,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Arunachal Pradesh,Analytics,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Arunachal Pradesh,Administration,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Arunachal Pradesh,Others,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Arunachal Pradesh,Others,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Assam,Corporate,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Assam,CSO,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,7
Assam,CSO,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,28
Assam,CSO,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,7
Assam,CSO,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Assam,CSO,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Assam,CSO,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,8
Assam,RM,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Assam,RM,Vendor,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Assam,RM,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Assam,RM,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Assam,RM,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Assam,RM,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Assam,RM,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Assam,RM,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Assam,RM,Referral,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Assam,BD,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Assam,BD,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,10
Assam,BD,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,13
Assam,BD,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,22
Assam,BD,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Assam,BD,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Assam,BD,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Assam,Administration,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Assam,Administration,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Assam,Administration,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Assam,Support,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Assam,Credit,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Assam,Others,Job Portal,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Assam,Marketing,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Corporate,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Bihar,Corporate,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Corporate,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Corporate,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Corporate,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,IT,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,IT,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,IT,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,IT,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Bihar,IT,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Bihar,CSO,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Bihar,CSO,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Bihar,CSO,Vendor,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,CSO,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,11
Bihar,CSO,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,38
Bihar,CSO,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,19
Bihar,CSO,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,7
Bihar,CSO,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,35
Bihar,CSO,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,43
Bihar,CSO,Referral,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,CSO,Referral,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Bihar,CSO,Referral,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Bihar,RM,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,7
Bihar,RM,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,7
Bihar,RM,Vendor,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Bihar,RM,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Bihar,RM,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,8
Bihar,RM,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,4
Bihar,RM,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,6
Bihar,RM,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,4
Bihar,RM,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,10
Bihar,BD,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,BD,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Bihar,BD,Vendor,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Bihar,BD,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,26
Bihar,BD,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,44
Bihar,BD,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,36
Bihar,BD,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,12
Bihar,BD,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,36
Bihar,BD,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,22
Bihar,BD,Referral,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,BD,Job Portal,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,BD,Job Portal,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Administration,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Administration,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,4
Bihar,Administration,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Administration,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Administration,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Finance,Vendor,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Support,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Credit,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Credit,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Credit,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Credit,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Credit,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Bihar,Others,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Bihar,Marketing,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Bihar,Marketing,Vendor,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chandigarh,Corporate,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chandigarh,Corporate,Referral,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chandigarh,CSO,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Chandigarh,CSO,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chandigarh,CSO,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,4
Chandigarh,CSO,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Chandigarh,RM,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chandigarh,RM,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Chandigarh,RM,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Chandigarh,BD,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,4
Chandigarh,BD,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,4
Chandigarh,BD,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Chattisgarh,HR,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chattisgarh,Corporate,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chattisgarh,Corporate,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chattisgarh,Corporate,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Chattisgarh,IT,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chattisgarh,CSO,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chattisgarh,CSO,Vendor,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Chattisgarh,CSO,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,29
Chattisgarh,CSO,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,65
Chattisgarh,CSO,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,13
Chattisgarh,CSO,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,13
Chattisgarh,CSO,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,27
Chattisgarh,CSO,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,29
Chattisgarh,CSO,Referral,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chattisgarh,CSO,Referral,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chattisgarh,RM,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Chattisgarh,RM,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Chattisgarh,RM,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Chattisgarh,RM,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Chattisgarh,RM,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Chattisgarh,RM,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,7
Chattisgarh,BD,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chattisgarh,BD,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chattisgarh,BD,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,14
Chattisgarh,BD,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,43
Chattisgarh,BD,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,39
Chattisgarh,BD,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chattisgarh,BD,Referral,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Chattisgarh,Administration,Vendor,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Chattisgarh,Administration,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chattisgarh,Credit,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chattisgarh,Credit,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Chattisgarh,Credit,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chattisgarh,Others,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chattisgarh,Others,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Chattisgarh,Others,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Corporate,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Corporate,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Delhi,Corporate,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Corporate,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Delhi,Corporate,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Corporate,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,9
Delhi,IT,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,CSO,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Delhi,CSO,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,5
Delhi,CSO,Vendor,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,23
Delhi,CSO,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,9
Delhi,CSO,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,13
Delhi,CSO,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,50
Delhi,CSO,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,17
Delhi,CSO,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,41
Delhi,CSO,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,56
Delhi,CSO,Referral,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,6
Delhi,CSO,Referral,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Delhi,CSO,Referral,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,RM,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,35
Delhi,RM,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,28
Delhi,RM,Vendor,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,21
Delhi,RM,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,3
Delhi,RM,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,10
Delhi,RM,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,6
Delhi,RM,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,11
Delhi,RM,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,6
Delhi,RM,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,8
Delhi,BD,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Delhi,BD,Vendor,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,4
Delhi,BD,Vendor,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,8
Delhi,BD,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,19
Delhi,BD,Direct,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,31
Delhi,BD,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,17
Delhi,BD,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Delhi,BD,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,14
Delhi,BD,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,7
Delhi,BD,Job Portal,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Administration,Career Page,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Finance,Vendor,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Finance,Direct,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,2
Delhi,Finance,Direct,01-12-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Finance,Career Page,01-10-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
Delhi,Finance,Career Page,01-11-16,TAT1: Application to interview schedule,CR1: Interview schedule,candidate_count,1
