m1,m2,m3,m4,m5,m6,m7,Left,value
Assam,Administration Executive,Finance,01-01-16,00-01 yrs,Finance,182,0,1
Delhi,Administration Executive,Finance,01-10-16,00-01 yrs,Marketing,242,0,1
Jharkhand,Territory Manager,Power,01-11-16,05-10 yrs,Support,204,0,1
Assam,Relationship Manager,Retail,01-10-16,00-01 yrs,Sales,275,0,1
Jharkhand,Relationship Manager,Metal,01-09-16,00-01 yrs,Finance,133,0,1
Jharkhand,Associate,Infra,01-05-16,00-01 yrs,HR,275,0,1
Delhi,Sales Executive,Metal,01-02-16,00-01 yrs,Finance,187,0,1
Delhi,Administration Executive,Finance,01-05-16,02-05 yrs,Marketing,246,0,1
Delhi,Relationship Manager,Retail,01-07-16,00-01 yrs,Sales,187,0,1
Delhi,Relationship Manager,Finance,01-02-16,00-01 yrs,Marketing,188,0,1
Jharkhand,Relationship Manager,Infra,01-05-16,00-01 yrs,Sales,257,0,1
Delhi,Sales Executive,Retail,01-07-16,01-02 yrs,Marketing,166,0,1
Delhi,Businees Development Executive,Retail,01-08-16,00-01 yrs,HR,207,0,1
Delhi,Sales Executive,Metal,01-07-16,01-02 yrs,Marketing,271,0,1
Assam,Sales Executive,Metal,01-04-16,01-02 yrs,Sales,152,0,1
Delhi,Administration Executive,Metal,01-01-16,02-05 yrs,Sales,155,0,1
Jharkhand,Associate,Retail,01-02-16,01-02 yrs,Sales,128,0,1
Assam,Sales Executive,Retail,01-04-16,00-01 yrs,IT,295,0,1
Assam,Associate,Telecom,01-01-16,00-01 yrs,Support,135,0,1
Delhi,Sales Executive,Finance,01-10-16,01-02 yrs,Sales,215,0,1
Assam,Corporate Role,Retail,01-02-16,00-01 yrs,Support,136,0,1
Assam,Administration Executive,Metal,01-06-16,05-10 yrs,Sales,121,0,1
Assam,Sales Executive,Infra,01-12-16,00-01 yrs,Sales,128,0,1
Assam,Associate,Infra,01-11-16,02-05 yrs,Sales,117,0,1
Jharkhand,Relationship Manager,Telecom,01-05-16,00-01 yrs,Support,226,0,1
Delhi,Associate,Retail,01-07-16,02-05 yrs,Marketing,117,0,1
Assam,Associate,Power,01-08-16,01-02 yrs,Marketing,169,0,1
Delhi,Territory Manager,Retail,01-01-16,01-02 yrs,Marketing,165,0,1
Jharkhand,Territory Manager,Power,01-04-16,02-05 yrs,Sales,166,0,1
Jharkhand,Businees Development Executive,Metal,01-03-16,00-01 yrs,Sales,145,0,1
Jharkhand,Sales Executive,Power,01-03-16,01-02 yrs,IT,231,0,1
Delhi,Relationship Manager,Retail,01-11-16,05-10 yrs,Finance,109,0,1
Jharkhand,Associate,Metal,01-09-16,00-01 yrs,Sales,177,0,1
Delhi,Relationship Manager,Telecom,01-10-16,10+ yrs,Marketing,179,0,1
Assam,Relationship Manager,Retail,01-02-16,00-01 yrs,Sales,196,0,1
Jharkhand,Businees Development Executive,Retail,01-03-16,01-02 yrs,Marketing,165,0,1
Jharkhand,Corporate Role,Retail,01-03-16,01-02 yrs,Sales,294,0,1
Jharkhand,Sales Executive,Retail,01-02-16,05-10 yrs,Finance,116,0,1
Jharkhand,Territory Manager,Retail,01-08-16,00-01 yrs,Sales,246,0,1
Jharkhand,Administration Executive,Infra,01-01-16,01-02 yrs,Sales,159,0,1
Delhi,Sales Executive,Power,01-03-16,00-01 yrs,Support,223,0,1
Jharkhand,Sales Executive,Power,01-09-16,00-01 yrs,Marketing,125,0,1
Jharkhand,Associate,Telecom,01-09-16,05-10 yrs,Marketing,134,0,1
Delhi,Administration Executive,Finance,01-02-16,10+ yrs,Finance,288,0,1
Jharkhand,Businees Development Executive,Power,01-02-16,02-05 yrs,Marketing,113,0,1
Delhi,Associate,Infra,01-08-16,05-10 yrs,Sales,295,0,1
Delhi,Sales Executive,Metal,01-01-16,01-02 yrs,Sales,271,0,1
Delhi,Businees Development Executive,Infra,01-05-16,05-10 yrs,Support,169,0,1
Delhi,Administration Executive,Power,01-10-16,00-01 yrs,Marketing,223,0,1
Assam,Territory Manager,Retail,01-06-16,00-01 yrs,Sales,250,0,1
Jharkhand,Territory Manager,Retail,01-03-16,05-10 yrs,HR,266,0,1
Jharkhand,Territory Manager,Telecom,01-03-16,00-01 yrs,Sales,118,0,1
Delhi,Territory Manager,Retail,01-12-16,05-10 yrs,Sales,256,0,1
Assam,Territory Manager,Metal,01-11-16,01-02 yrs,IT,113,0,1
Jharkhand,Corporate Role,Metal,01-03-16,10+ yrs,Marketing,145,0,1
Jharkhand,Sales Executive,Telecom,01-03-16,00-01 yrs,Finance,205,0,1
Assam,Relationship Manager,Infra,01-01-16,00-01 yrs,IT,266,0,1
Jharkhand,Administration Executive,Metal,01-07-16,00-01 yrs,Marketing,101,0,1
Jharkhand,Relationship Manager,Finance,01-06-16,00-01 yrs,Sales,115,0,1
Jharkhand,Sales Executive,Finance,01-12-16,02-05 yrs,Marketing,256,0,1
Jharkhand,Businees Development Executive,Finance,01-04-16,00-01 yrs,Sales,101,0,1
Jharkhand,Sales Executive,Telecom,01-01-16,00-01 yrs,Support,293,0,1
Delhi,Associate,Metal,01-05-16,02-05 yrs,HR,203,0,1
Assam,Associate,Metal,01-10-16,00-01 yrs,Marketing,183,0,1
Assam,Territory Manager,Metal,01-05-16,00-01 yrs,Marketing,272,0,1
Jharkhand,Businees Development Executive,Infra,01-09-16,00-01 yrs,Marketing,153,0,1
Jharkhand,Businees Development Executive,Metal,01-10-16,10+ yrs,Sales,286,0,1
Jharkhand,Associate,Telecom,01-04-16,10+ yrs,Support,116,0,1
Assam,Associate,Telecom,01-08-16,10+ yrs,Sales,267,0,1
Delhi,Businees Development Executive,Metal,01-12-16,00-01 yrs,Marketing,289,0,1
Assam,Associate,Telecom,01-11-16,01-02 yrs,Finance,104,0,1
Delhi,Businees Development Executive,Retail,01-11-16,02-05 yrs,IT,122,0,1
Delhi,Territory Manager,Finance,01-11-16,01-02 yrs,IT,126,0,1
Assam,Relationship Manager,Retail,01-11-16,01-02 yrs,HR,126,0,1
Delhi,Sales Executive,Infra,01-02-16,00-01 yrs,Support,132,0,1
Delhi,Relationship Manager,Metal,01-05-16,02-05 yrs,Support,142,0,1
Delhi,Corporate Role,Telecom,01-12-16,01-02 yrs,Marketing,222,0,1
Assam,Sales Executive,Finance,01-12-16,00-01 yrs,IT,290,0,1
Delhi,Sales Executive,Retail,01-10-16,01-02 yrs,Finance,100,0,1
Jharkhand,Relationship Manager,Retail,01-04-16,02-05 yrs,Finance,292,0,1
Delhi,Relationship Manager,Retail,01-07-16,10+ yrs,HR,291,0,1
Delhi,Administration Executive,Retail,01-02-16,05-10 yrs,Sales,228,0,1
Jharkhand,Associate,Retail,01-02-16,10+ yrs,Finance,135,0,1
Delhi,Businees Development Executive,Retail,01-09-16,01-02 yrs,Finance,176,0,1
Assam,Sales Executive,Metal,01-05-16,10+ yrs,Finance,185,0,1
Assam,Sales Executive,Infra,01-03-16,01-02 yrs,Finance,256,0,1
Jharkhand,Associate,Finance,01-02-16,05-10 yrs,Marketing,195,0,1
Jharkhand,Sales Executive,Retail,01-08-16,01-02 yrs,HR,226,0,1
Jharkhand,Territory Manager,Finance,01-10-16,01-02 yrs,Finance,252,0,1
Assam,Associate,Retail,01-11-16,01-02 yrs,Finance,137,0,1
Jharkhand,Corporate Role,Retail,01-09-16,02-05 yrs,Sales,134,0,1
Delhi,Territory Manager,Finance,01-02-16,05-10 yrs,Sales,175,0,1
Delhi,Associate,Metal,01-02-16,00-01 yrs,Finance,202,0,1
Delhi,Associate,Finance,01-07-16,00-01 yrs,Finance,102,0,1
Jharkhand,Corporate Role,Metal,01-06-16,00-01 yrs,Sales,227,0,1
Delhi,Relationship Manager,Metal,01-11-16,01-02 yrs,Marketing,218,0,1
Delhi,Relationship Manager,Retail,01-04-16,01-02 yrs,Sales,135,0,1
Delhi,Administration Executive,Infra,01-01-16,05-10 yrs,Marketing,186,0,1
Delhi,Associate,Infra,01-10-16,01-02 yrs,Marketing,230,0,1
Assam,Territory Manager,Retail,01-07-16,01-02 yrs,Marketing,102,0,1
Jharkhand,Businees Development Executive,Metal,01-03-16,10+ yrs,Marketing,179,0,1
Assam,Sales Executive,Finance,01-01-16,00-01 yrs,Support,206,0,1
Assam,Relationship Manager,Retail,01-12-16,02-05 yrs,Finance,205,0,1
Assam,Relationship Manager,Finance,01-04-16,02-05 yrs,Sales,117,0,1
Assam,Associate,Retail,01-04-16,00-01 yrs,Finance,106,0,1
Assam,Sales Executive,Retail,01-09-16,10+ yrs,Sales,300,0,1
Assam,Administration Executive,Infra,01-09-16,01-02 yrs,HR,132,0,1
Delhi,Sales Executive,Retail,01-07-16,01-02 yrs,Support,155,0,1
Assam,Associate,Power,01-04-16,10+ yrs,Sales,170,0,1
Jharkhand,Sales Executive,Power,01-07-16,02-05 yrs,Support,186,0,1
Jharkhand,Territory Manager,Power,01-07-16,05-10 yrs,Sales,154,0,1
Assam,Businees Development Executive,Infra,01-12-16,00-01 yrs,Sales,268,0,1
Delhi,Associate,Retail,01-01-16,00-01 yrs,Marketing,246,0,1
Delhi,Businees Development Executive,Power,01-04-16,01-02 yrs,IT,177,0,1
Delhi,Relationship Manager,Retail,01-04-16,02-05 yrs,Finance,276,0,1
Delhi,Territory Manager,Finance,01-01-16,02-05 yrs,IT,269,0,1
Jharkhand,Associate,Retail,01-08-16,00-01 yrs,IT,214,0,1
Delhi,Corporate Role,Power,01-01-16,02-05 yrs,Support,174,0,1
Assam,Corporate Role,Telecom,01-06-16,05-10 yrs,Finance,187,0,1
Assam,Administration Executive,Metal,01-03-16,10+ yrs,Sales,161,0,1
Assam,Sales Executive,Metal,01-01-16,01-02 yrs,Sales,260,0,1
Assam,Businees Development Executive,Telecom,01-03-16,02-05 yrs,Finance,234,0,1
Jharkhand,Businees Development Executive,Telecom,01-08-16,01-02 yrs,Marketing,192,0,1
Delhi,Relationship Manager,Finance,01-12-16,10+ yrs,HR,277,0,1
Delhi,Relationship Manager,Finance,01-05-16,00-01 yrs,IT,228,0,1
Assam,Territory Manager,Power,01-09-16,02-05 yrs,HR,231,0,1
Delhi,Administration Executive,Power,01-08-16,00-01 yrs,Marketing,162,0,1
Jharkhand,Sales Executive,Metal,01-02-16,02-05 yrs,Sales,169,0,1
Assam,Associate,Retail,01-12-16,10+ yrs,IT,218,0,1
Assam,Sales Executive,Metal,01-04-16,00-01 yrs,Sales,233,0,1
Assam,Relationship Manager,Retail,01-04-16,00-01 yrs,Support,279,0,1
Delhi,Businees Development Executive,Telecom,01-09-16,10+ yrs,Marketing,290,0,1
Assam,Businees Development Executive,Finance,01-07-16,00-01 yrs,Sales,299,0,1
Assam,Associate,Finance,01-07-16,00-01 yrs,IT,261,0,1
Assam,Corporate Role,Retail,01-05-16,00-01 yrs,Finance,186,0,1
Delhi,Relationship Manager,Retail,01-03-16,02-05 yrs,Sales,265,0,1
Jharkhand,Sales Executive,Retail,01-04-16,00-01 yrs,Support,275,0,1
Jharkhand,Associate,Metal,01-12-16,00-01 yrs,Sales,151,0,1
Jharkhand,Associate,Finance,01-02-16,01-02 yrs,Finance,165,0,1
Jharkhand,Corporate Role,Power,01-11-16,01-02 yrs,Marketing,235,0,1
Jharkhand,Sales Executive,Finance,01-04-16,05-10 yrs,Finance,147,0,1
Delhi,Administration Executive,Metal,01-08-16,00-01 yrs,Sales,283,0,1
Assam,Businees Development Executive,Retail,01-08-16,02-05 yrs,HR,292,0,1
Assam,Territory Manager,Retail,01-12-16,00-01 yrs,Support,122,0,1
Delhi,Territory Manager,Power,01-12-16,01-02 yrs,Marketing,146,0,1
Assam,Relationship Manager,Retail,01-03-16,00-01 yrs,Marketing,106,0,1
Delhi,Businees Development Executive,Telecom,01-03-16,05-10 yrs,HR,285,0,1
Assam,Relationship Manager,Metal,01-08-16,01-02 yrs,Sales,271,0,1
Assam,Relationship Manager,Power,01-02-16,00-01 yrs,Finance,255,0,1
Delhi,Territory Manager,Finance,01-05-16,00-01 yrs,HR,195,0,1
Jharkhand,Businees Development Executive,Infra,01-05-16,02-05 yrs,Marketing,143,0,1
Delhi,Administration Executive,Power,01-12-16,10+ yrs,Sales,162,0,1
Delhi,Territory Manager,Retail,01-09-16,10+ yrs,Finance,281,0,1
Jharkhand,Associate,Retail,01-03-16,02-05 yrs,Support,278,0,1
Delhi,Businees Development Executive,Finance,01-05-16,10+ yrs,HR,109,0,1
Delhi,Territory Manager,Finance,01-03-16,01-02 yrs,Marketing,190,0,1
Assam,Associate,Finance,01-01-16,00-01 yrs,Sales,157,0,1
Assam,Corporate Role,Retail,01-06-16,10+ yrs,IT,187,0,1
Assam,Associate,Power,01-12-16,00-01 yrs,Finance,210,0,1
Delhi,Corporate Role,Metal,01-01-16,00-01 yrs,Sales,298,0,1
Delhi,Administration Executive,Infra,01-06-16,01-02 yrs,HR,206,0,1
Delhi,Sales Executive,Finance,01-12-16,00-01 yrs,Sales,255,0,1
Assam,Corporate Role,Retail,01-01-16,05-10 yrs,HR,298,0,1
Delhi,Territory Manager,Infra,01-08-16,02-05 yrs,Sales,213,0,1
Assam,Associate,Metal,01-02-16,00-01 yrs,Finance,261,0,1
Delhi,Relationship Manager,Finance,01-04-16,02-05 yrs,Finance,212,0,1
Delhi,Territory Manager,Metal,01-02-16,01-02 yrs,Sales,211,0,1
Jharkhand,Relationship Manager,Retail,01-08-16,00-01 yrs,Sales,265,0,1
Jharkhand,Sales Executive,Retail,01-06-16,00-01 yrs,IT,268,0,1
Delhi,Territory Manager,Retail,01-07-16,00-01 yrs,Support,238,0,1
Jharkhand,Sales Executive,Finance,01-03-16,01-02 yrs,IT,128,0,1
Assam,Businees Development Executive,Infra,01-09-16,00-01 yrs,Finance,241,0,1
Jharkhand,Sales Executive,Finance,01-09-16,05-10 yrs,Finance,122,0,1
Assam,Relationship Manager,Retail,01-07-16,01-02 yrs,Sales,229,0,1
Jharkhand,Businees Development Executive,Finance,01-05-16,02-05 yrs,Marketing,179,0,1
Jharkhand,Sales Executive,Infra,01-12-16,05-10 yrs,Sales,250,0,1
Jharkhand,Associate,Finance,01-06-16,02-05 yrs,Marketing,208,0,1
Delhi,Relationship Manager,Retail,01-03-16,01-02 yrs,IT,177,0,1
Jharkhand,Associate,Metal,01-01-16,01-02 yrs,Sales,222,0,1
Delhi,Sales Executive,Finance,01-05-16,01-02 yrs,Finance,155,0,1
Assam,Sales Executive,Retail,01-06-16,00-01 yrs,Sales,165,0,1
Delhi,Sales Executive,Retail,01-12-16,00-01 yrs,Support,253,0,1
Delhi,Businees Development Executive,Finance,01-01-16,01-02 yrs,Sales,266,0,1
Assam,Businees Development Executive,Metal,01-02-16,00-01 yrs,Marketing,117,0,1
Jharkhand,Territory Manager,Telecom,01-11-16,00-01 yrs,Support,147,0,1
Delhi,Relationship Manager,Metal,01-01-16,00-01 yrs,Finance,151,0,1
Jharkhand,Corporate Role,Finance,01-05-16,00-01 yrs,Sales,136,0,1
Delhi,Territory Manager,Infra,01-06-16,00-01 yrs,Sales,166,0,1
Jharkhand,Territory Manager,Infra,01-01-16,10+ yrs,Marketing,253,0,1
Jharkhand,Sales Executive,Finance,01-05-16,00-01 yrs,Support,158,0,1
Assam,Businees Development Executive,Telecom,01-04-16,10+ yrs,IT,228,0,1
Assam,Businees Development Executive,Metal,01-04-16,10+ yrs,Finance,199,0,1
Assam,Corporate Role,Finance,01-02-16,00-01 yrs,IT,126,0,1
Jharkhand,Administration Executive,Metal,01-12-16,01-02 yrs,Sales,145,0,1
Jharkhand,Associate,Metal,01-11-16,00-01 yrs,Sales,136,0,1
Delhi,Sales Executive,Metal,01-09-16,00-01 yrs,IT,295,0,1
Jharkhand,Associate,Retail,01-09-16,00-01 yrs,Marketing,283,0,1
Jharkhand,Relationship Manager,Metal,01-10-16,01-02 yrs,Finance,271,0,1
Delhi,Corporate Role,Power,01-06-16,00-01 yrs,Finance,169,0,1
Jharkhand,Sales Executive,Retail,01-01-16,10+ yrs,Sales,137,0,1
Jharkhand,Administration Executive,Retail,01-07-16,01-02 yrs,Marketing,255,0,1
Assam,Corporate Role,Finance,01-08-16,00-01 yrs,Marketing,221,0,1
Delhi,Associate,Telecom,01-10-16,02-05 yrs,Sales,206,0,1
Delhi,Territory Manager,Metal,01-12-16,00-01 yrs,Sales,209,0,1
Jharkhand,Associate,Finance,01-11-16,00-01 yrs,Finance,232,0,1
Assam,Corporate Role,Metal,01-05-16,01-02 yrs,IT,240,0,1
Assam,Sales Executive,Retail,01-06-16,01-02 yrs,Sales,111,0,1
Jharkhand,Sales Executive,Retail,01-09-16,01-02 yrs,Finance,235,0,1
Delhi,Corporate Role,Infra,01-10-16,00-01 yrs,Finance,192,0,1
Assam,Sales Executive,Metal,01-11-16,00-01 yrs,Support,141,0,1
Assam,Territory Manager,Retail,01-01-16,00-01 yrs,IT,189,0,1
Assam,Businees Development Executive,Telecom,01-10-16,02-05 yrs,Support,290,0,1
Jharkhand,Businees Development Executive,Metal,01-11-16,05-10 yrs,Sales,298,0,1
Assam,Associate,Retail,01-12-16,01-02 yrs,Marketing,247,0,1
Delhi,Associate,Metal,01-09-16,00-01 yrs,Finance,126,0,1
Delhi,Businees Development Executive,Retail,01-01-16,00-01 yrs,Support,206,0,1
Delhi,Businees Development Executive,Retail,01-03-16,01-02 yrs,Sales,263,0,1
Assam,Administration Executive,Finance,01-03-16,10+ yrs,Sales,248,0,1
Delhi,Sales Executive,Infra,01-03-16,01-02 yrs,Finance,230,0,1
Jharkhand,Relationship Manager,Metal,01-12-16,00-01 yrs,Marketing,293,0,1
Assam,Sales Executive,Telecom,01-04-16,05-10 yrs,Marketing,250,0,1
Delhi,Territory Manager,Telecom,01-03-16,00-01 yrs,Marketing,168,0,1
Assam,Businees Development Executive,Finance,01-02-16,05-10 yrs,Finance,231,0,1
Jharkhand,Corporate Role,Retail,01-09-16,00-01 yrs,IT,125,0,1
Assam,Sales Executive,Retail,01-07-16,02-05 yrs,Sales,143,0,1
Jharkhand,Associate,Retail,01-08-16,00-01 yrs,Finance,250,0,1
Assam,Sales Executive,Metal,01-11-16,01-02 yrs,HR,276,0,1
Jharkhand,Territory Manager,Telecom,01-09-16,01-02 yrs,Marketing,183,0,1
Jharkhand,Businees Development Executive,Metal,01-12-16,05-10 yrs,Marketing,236,0,1
Assam,Administration Executive,Retail,01-03-16,00-01 yrs,Sales,266,0,1
Delhi,Corporate Role,Finance,01-05-16,02-05 yrs,IT,186,0,1
Delhi,Businees Development Executive,Telecom,01-01-16,01-02 yrs,HR,272,0,1
Jharkhand,Corporate Role,Finance,01-08-16,00-01 yrs,Support,184,0,1
Assam,Sales Executive,Retail,01-05-16,01-02 yrs,IT,153,0,1
Jharkhand,Territory Manager,Retail,01-07-16,02-05 yrs,Sales,145,0,1
Jharkhand,Associate,Telecom,01-01-16,00-01 yrs,Marketing,101,0,1
Assam,Associate,Metal,01-05-16,01-02 yrs,Support,156,0,1
Delhi,Relationship Manager,Retail,01-05-16,02-05 yrs,IT,237,0,1
Assam,Relationship Manager,Power,01-08-16,02-05 yrs,IT,136,0,1
Assam,Administration Executive,Metal,01-04-16,01-02 yrs,Marketing,257,0,1
Delhi,Administration Executive,Finance,01-03-16,00-01 yrs,Sales,226,0,1
Assam,Sales Executive,Retail,01-10-16,00-01 yrs,Sales,246,0,1
Assam,Sales Executive,Telecom,01-11-16,00-01 yrs,Support,163,0,1
Assam,Businees Development Executive,Retail,01-04-16,00-01 yrs,Finance,174,0,1
Assam,Businees Development Executive,Infra,01-12-16,02-05 yrs,Support,148,0,1
Assam,Relationship Manager,Metal,01-10-16,00-01 yrs,Marketing,172,0,1
Delhi,Territory Manager,Infra,01-04-16,01-02 yrs,Finance,101,0,1
Assam,Territory Manager,Finance,01-08-16,01-02 yrs,Finance,239,0,1
Delhi,Associate,Metal,01-06-16,01-02 yrs,IT,255,0,1
Jharkhand,Businees Development Executive,Telecom,01-02-16,02-05 yrs,IT,282,0,1
Delhi,Sales Executive,Metal,01-01-16,01-02 yrs,Sales,268,0,1
Jharkhand,Associate,Telecom,01-06-16,01-02 yrs,Sales,282,0,1
Delhi,Sales Executive,Infra,01-09-16,05-10 yrs,Sales,257,0,1
Assam,Administration Executive,Finance,01-06-16,01-02 yrs,Sales,136,0,1
Jharkhand,Territory Manager,Retail,01-12-16,02-05 yrs,Sales,300,0,1
Assam,Sales Executive,Finance,01-03-16,00-01 yrs,Support,267,0,1
Jharkhand,Relationship Manager,Telecom,01-01-16,00-01 yrs,Finance,271,0,1
Delhi,Sales Executive,Retail,01-12-16,02-05 yrs,Sales,133,0,1
Assam,Associate,Metal,01-12-16,00-01 yrs,HR,213,0,1
Jharkhand,Sales Executive,Retail,01-01-16,00-01 yrs,IT,111,0,1
Assam,Relationship Manager,Finance,01-09-16,00-01 yrs,Sales,114,0,1
Jharkhand,Administration Executive,Finance,01-03-16,00-01 yrs,Support,108,0,1
Assam,Territory Manager,Retail,01-05-16,01-02 yrs,Marketing,190,0,1
Jharkhand,Territory Manager,Finance,01-06-16,01-02 yrs,Sales,230,0,1
Delhi,Territory Manager,Finance,01-10-16,00-01 yrs,IT,256,0,1
Jharkhand,Corporate Role,Retail,01-01-16,00-01 yrs,Sales,300,0,1
Delhi,Relationship Manager,Infra,01-01-16,10+ yrs,IT,269,0,1
Assam,Administration Executive,Infra,01-03-16,10+ yrs,Finance,228,0,1
Jharkhand,Associate,Telecom,01-01-16,02-05 yrs,Support,235,0,1
Assam,Sales Executive,Metal,01-04-16,00-01 yrs,Sales,239,0,1
Assam,Sales Executive,Retail,01-03-16,10+ yrs,Marketing,276,0,1
Jharkhand,Associate,Telecom,01-04-16,00-01 yrs,Finance,116,0,1
